Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
17/10/2014,11:39:33,402.08,409.2,408.17,0,0,0,,,,,0
17/10/2014,11:44:33,402.1,408.72,407.76,0,0,0,,,,,0
17/10/2014,11:49:33,403.23,407.99,407.66,0,0,0,,,,,0
17/10/2014,11:54:33,402.68,408.2,407.12,0,0,0,,,,,0
17/10/2014,11:59:33,407.06,413.33,412.33,3.12,3.43,3.44,,,,,2440.49
17/10/2014,12:04:33,406.27,413.12,413.07,3.84,4.09,4.12,,,,,2938.44
17/10/2014,12:09:33,403.28,409.4,409.16,0,1.16,1.27,,,,,483.1
17/10/2014,12:14:33,407.65,414.08,413,4.48,4.77,4.75,,,,,3406.24
17/10/2014,12:19:33,400.56,408.05,407,0,0,0,,,,,0
17/10/2014,12:24:33,407.63,414.21,412.77,4.86,5.1,5.08,,,,,3655.72
17/10/2014,12:29:33,407.68,413.97,412.36,5.24,5.47,5.48,,,,,3927.7
17/10/2014,12:34:33,408.19,413.24,412.9,4.94,5.28,5.15,,,,,3721.87
17/10/2014,12:39:33,402.8,409.2,408.04,0,0,0,,,,,0
17/10/2014,12:44:33,401.97,408.42,407.05,0,0,0,,,,,0
17/10/2014,12:49:33,402.89,409.14,407.51,0,0,0,,,,,0
17/10/2014,12:54:33,402.33,409.07,408.48,0,0,0,,,,,0
17/10/2014,12:59:33,403.7,410.49,409.64,1.17,1.52,1.6,,,,,1031.93
17/10/2014,13:04:33,402.25,408.64,407.3,0,0,0,,,,,0
17/10/2014,13:09:33,406.81,413.64,412.57,3.69,4,3.99,,,,,2843.79
17/10/2014,13:14:33,402.94,409.25,408.14,0,0,1.2,,,,,331.22
17/10/2014,13:19:33,404.54,410.04,409.05,0,0,0,,,,,0
17/10/2014,13:24:33,403.12,409.64,408.86,0,0,0,,,,,0
17/10/2014,13:29:33,404.66,410.63,409.54,0,0,0,,,,,0
17/10/2014,13:34:33,403.79,410.86,410.54,0,0,1.55,,,,,404.25
17/10/2014,13:39:33,403.33,410.66,409.93,0,0,1.52,,,,,385.77
17/10/2014,13:44:33,403.18,409.58,409.17,0,0,0,,,,,0
17/10/2014,13:49:33,404.36,411.34,410.01,0,0,0,,,,,0
17/10/2014,13:54:33,404.81,411.58,409.96,0,0,0,,,,,0
17/10/2014,13:59:33,405.67,412.17,410.72,0,0,0,,,,,0
17/10/2014,14:04:33,404.09,410.58,409.04,0,0,0,,,,,0
17/10/2014,14:09:33,405.28,411.79,410.55,0,0,0,,,,,0
17/10/2014,14:14:33,404.03,410.91,409.87,0,0,0,,,,,0
17/10/2014,14:19:33,404.99,412.37,411.13,0,0,0,,,,,0
17/10/2014,14:24:33,404.55,411.51,410.91,0,0,0,,,,,0
17/10/2014,14:29:33,403.34,410.3,410.21,0,0,0,,,,,0
17/10/2014,14:34:33,405.03,411.82,411.76,1.07,1.5,1.58,,,,,995.79
17/10/2014,14:39:33,410.98,416.95,415.63,4.2,4.56,4.52,,,,,3255.61
17/10/2014,14:44:33,407.88,414.58,413.52,2.31,2.63,2.75,,,,,1903.37
17/10/2014,14:49:33,405.62,411.82,411.27,0,0,1.58,,,,,411.75
17/10/2014,14:54:33,411,416.96,416.52,4.01,4.39,4.33,,,,,3119.4
17/10/2014,14:59:33,411.51,417.35,416.83,4.48,4.77,4.8,,,,,3444.32
17/10/2014,15:04:33,412.63,418.59,417.71,4.67,4.99,4.95,,,,,3594.76
17/10/2014,15:09:33,412.09,418.46,417.71,4.96,5.29,5.25,,,,,3805.46
17/10/2014,15:14:33,411.06,417.66,416.08,3.61,3.93,3.92,,,,,2826.13
17/10/2014,15:19:33,410.44,417.16,416.12,2.63,3.07,3.1,,,,,2163.39
17/10/2014,15:24:33,407.17,413.58,412.77,0,0,0,,,,,0
17/10/2014,15:29:33,406.82,412.8,411.68,0,0,0,,,,,0
17/10/2014,15:34:33,406.43,412.02,411.49,0,1.22,1.32,,,,,516.23
17/10/2014,15:39:33,408.43,415.23,414.2,3.52,3.86,3.86,,,,,2753.01
17/10/2014,15:44:33,408.06,413.88,412.88,2.55,2.97,2.95,,,,,2065.8
17/10/2014,15:49:33,405.82,412.52,411.47,0,0,0.98,,,,,352.14
17/10/2014,15:54:33,405.76,411.73,410.82,0,0.96,1.11,,,,,422.45
17/10/2014,15:59:33,404.74,411.11,410.01,0,0,0,,,,,0
17/10/2014,16:04:33,402.49,410.03,408.94,0,0,0,,,,,0
17/10/2014,16:09:33,402.76,409.93,409.3,0,0,0,,,,,0
17/10/2014,16:14:33,404.91,411.28,411.29,0,0,0,,,,,0
17/10/2014,16:19:33,403.58,410.79,411.11,0,0,0,,,,,0
17/10/2014,16:24:33,406.58,411.82,411.06,0,0,0,,,,,0
17/10/2014,16:29:33,405.5,411.36,410.39,0,0,0,,,,,0
17/10/2014,16:34:33,406.06,412.57,411.08,0,0,0,,,,,0
17/10/2014,16:39:33,406.1,412.88,411.53,0,0,0,,,,,0
17/10/2014,16:44:33,405.8,412.51,411.54,0,0,0,,,,,0
17/10/2014,16:49:33,406.69,413.14,412.26,0,0,0,,,,,0
17/10/2014,16:54:33,405.93,412.83,412.09,0,0,0,,,,,0
17/10/2014,16:59:33,405.86,412.75,412.07,0,0,0,,,,,0
17/10/2014,17:04:33,405.85,412.45,411.47,0,0,0,,,,,0
17/10/2014,17:09:33,406.07,413.19,412.11,0,0,0,,,,,0
17/10/2014,17:14:33,405.87,412.96,412.36,0,0,0,,,,,0
17/10/2014,17:19:33,406.22,413.14,412.87,0,0,0,,,,,0
17/10/2014,17:24:33,405.8,412.91,411.99,0,0,0,,,,,0
17/10/2014,17:29:33,407,413.21,412.1,0,0,0,,,,,0
17/10/2014,17:34:33,408.42,414.23,413.05,0,0,0,,,,,0
17/10/2014,17:39:33,408.5,414.64,413.94,0,0,0,,,,,0
17/10/2014,17:44:33,403.42,409.68,408.95,0,0,0,,,,,0
17/10/2014,17:49:33,404.27,410.51,409.63,0,0,0,,,,,0
17/10/2014,17:54:33,404.24,410.41,409.83,0,0,0,,,,,0
17/10/2014,17:59:33,404.62,410.65,410.36,0,0,0,,,,,0
17/10/2014,18:04:33,404.16,410.45,410.45,0,0,0,,,,,0
17/10/2014,18:09:33,404.01,409.24,409.42,0,0,0,,,,,0
17/10/2014,18:14:33,404.58,410.22,411.37,0,0,0,,,,,0
17/10/2014,18:19:33,405.17,411.06,411.54,0,0,0,,,,,0
17/10/2014,18:24:33,404.85,410.13,410.24,0,0,0,,,,,0
17/10/2014,18:29:33,405.43,411.02,410.96,0,0,0,,,,,0
17/10/2014,18:34:33,405.66,411.14,411.04,0,0,0,,,,,0
17/10/2014,18:39:33,405.26,410.47,410.47,0,0,0,,,,,0
17/10/2014,18:44:33,406.21,411.02,411.23,0,0,0,,,,,0
17/10/2014,18:49:33,405.31,410.23,411.23,0,0,0,,,,,0
17/10/2014,18:54:33,404.83,410.18,409.66,0,0,0,,,,,0
17/10/2014,18:59:33,405.43,410.33,410.53,0,0,0,,,,,0
17/10/2014,19:04:33,404.63,409.76,409.73,0,0,0,,,,,0
17/10/2014,19:09:33,403.31,408.54,409.51,0,0,0,,,,,0
17/10/2014,19:14:33,404.09,409.21,409.33,0,0,0,,,,,0
17/10/2014,19:19:33,403.62,408.66,408.66,0,0,0,,,,,0
17/10/2014,19:24:33,403.7,408.98,409.04,0,0,0,,,,,0
17/10/2014,19:29:33,404.47,409.54,408.85,0,0,0,,,,,0
17/10/2014,19:34:33,404.26,409.34,409.68,0,0,0,,,,,0
17/10/2014,19:39:33,404.4,410.23,410.29,0,0,0,,,,,0
17/10/2014,19:44:33,404.91,410.09,409.51,0,0,0,,,,,0
17/10/2014,19:49:33,405.78,410.98,411.15,0,0,0,,,,,0
17/10/2014,19:54:33,405.33,410.53,411.4,0,0,0,,,,,0
17/10/2014,19:59:33,406.24,411.27,411.13,0,0,0,,,,,0
17/10/2014,20:04:33,406.57,412.14,412.04,0,0,0,,,,,0
17/10/2014,20:09:33,406.36,412.02,412.1,0,0,0,,,,,0
17/10/2014,20:14:33,405.77,411.91,412.14,0,0,0,,,,,0
17/10/2014,20:19:33,407.06,412.59,412.57,0,0,0,,,,,0
17/10/2014,20:24:33,406.74,411.96,412.22,0,0,0,,,,,0
17/10/2014,20:29:33,407.74,413.14,412.47,0,0,0,,,,,0
17/10/2014,20:34:33,407.32,412.41,413.63,0,0,0,,,,,0
17/10/2014,20:39:33,406.22,411.51,411.61,0,0,0,,,,,0
17/10/2014,20:44:33,406.07,411.75,411.88,0,0,0,,,,,0
17/10/2014,20:49:33,406.34,411.2,411.26,0,0,0,,,,,0
17/10/2014,20:54:33,405.75,411.11,411.86,0,0,0,,,,,0
17/10/2014,20:59:33,406.87,412.24,412.25,0,0,0,,,,,0
17/10/2014,21:04:33,407.38,412.31,412.21,0,0,0,,,,,0
17/10/2014,21:09:33,407.36,412.17,412.54,0,0,0,,,,,0
17/10/2014,21:14:33,406.2,411.55,412.75,0,0,0,,,,,0
17/10/2014,21:19:33,407.63,412.88,412.77,0,0,0,,,,,0
17/10/2014,21:24:33,407.59,412.75,412.63,0,0,0,,,,,0
17/10/2014,21:29:33,407.27,412.89,412.8,0,0,0,,,,,0
17/10/2014,21:34:33,406.69,411.97,412.16,0,0,0,,,,,0
17/10/2014,21:39:33,407.4,412.73,412.84,0,0,0,,,,,0
17/10/2014,21:44:33,407.13,412.2,411.91,0,0,0,,,,,0
17/10/2014,21:49:33,407.34,412.5,412.39,0,0,0,,,,,0
17/10/2014,21:54:33,407.49,412.94,413.39,0,0,0,,,,,0
17/10/2014,21:59:33,405.57,411.29,410.59,0,0,0,,,,,0
17/10/2014,22:04:33,404.79,410.81,410.27,0,0,0,,,,,0
17/10/2014,22:09:33,405.69,410.82,410.43,0,0,0,,,,,0
17/10/2014,22:14:33,405.26,410.19,410.98,0,0,0,,,,,0
17/10/2014,22:19:33,405.7,410.49,410.37,0,0,0,,,,,0
17/10/2014,22:24:33,406.68,411.95,411.31,0,0,0,,,,,0
17/10/2014,22:29:33,406.73,411.98,411.58,0,0,0,,,,,0
17/10/2014,22:34:33,407,412.26,411.79,0,0,0,,,,,0
17/10/2014,22:39:33,405.91,411.03,410.29,0,0,0,,,,,0
17/10/2014,22:44:33,406.73,411.68,411.58,0,0,0,,,,,0
17/10/2014,22:49:33,406.72,411.59,411.34,0,0,0,,,,,0
17/10/2014,22:54:33,406.85,411.71,411.31,0,0,0,,,,,0
17/10/2014,22:59:33,406.92,412.23,411.84,0,0,0,,,,,0
17/10/2014,23:04:33,407.71,412.52,412.14,0,0,0,,,,,0
17/10/2014,23:09:33,408.04,412.66,412.43,0,0,0,,,,,0
17/10/2014,23:14:33,407.62,412.16,411.8,0,0,0,,,,,0
17/10/2014,23:19:33,407.29,411.98,411.94,0,0,0,,,,,0
17/10/2014,23:24:33,408.11,413.01,412.74,0,0,0,,,,,0
17/10/2014,23:29:33,407.09,411.62,411.13,0,0,0,,,,,0
17/10/2014,23:34:33,407.6,412.02,411.8,0,0,0,,,,,0
17/10/2014,23:39:33,407.99,412.68,412.58,0,0,0,,,,,0
17/10/2014,23:44:33,407.88,412.99,412.37,0,0,0,,,,,0
17/10/2014,23:49:33,408.04,413.08,413.59,0,0,0,,,,,0
17/10/2014,23:54:33,407.07,412.28,411.64,0,0,0,,,,,0
17/10/2014,23:59:33,407.15,412.1,411.69,0,0,0,,,,,0
18/10/2014,00:04:33,407.4,412.17,411.79,0,0,0,,,,,0
18/10/2014,00:09:33,405.81,411.57,411.58,0,0,0,,,,,0
18/10/2014,00:14:33,406.76,411.62,410.86,0,0,0,,,,,0
18/10/2014,00:19:33,406.8,412.18,411.46,0,0,0,,,,,0
18/10/2014,00:24:33,407.35,412.28,411.87,0,0,0,,,,,0
18/10/2014,00:29:33,406.55,411.23,412.04,0,0,0,,,,,0
18/10/2014,00:34:33,407.17,412.62,411.6,0,0,0,,,,,0
18/10/2014,00:39:33,408.45,412.96,413.26,0,0,0,,,,,0
18/10/2014,00:44:33,407.44,412.41,412.11,0,0,0,,,,,0
18/10/2014,00:49:33,407.79,412.72,412.09,0,0,0,,,,,0
18/10/2014,00:54:33,407.12,412.13,411.56,0,0,0,,,,,0
18/10/2014,00:59:33,407.25,412.27,411.42,0,0,0,,,,,0
18/10/2014,01:04:33,408.03,412.69,412.46,0,0,0,,,,,0
18/10/2014,01:09:33,408.11,412.69,412.1,0,0,0,,,,,0
18/10/2014,01:14:33,408.83,413.41,413.01,0,0,0,,,,,0
18/10/2014,01:19:33,408.53,413.31,412.85,0,0,0,,,,,0
18/10/2014,01:24:33,408.51,413.66,412.94,0,0,0,,,,,0
18/10/2014,01:29:33,408.26,413.3,413.06,0,0,0,,,,,0
18/10/2014,01:34:33,408.59,413.48,412.64,0,0,0,,,,,0
18/10/2014,01:39:33,409.5,414.56,413.55,0,0,0,,,,,0
18/10/2014,01:44:33,408.82,413.58,413.14,0,0,0,,,,,0
18/10/2014,01:49:33,408.87,414,413.43,0,0,0,,,,,0
18/10/2014,01:54:33,408.76,413.87,413.02,0,0,0,,,,,0
18/10/2014,01:59:33,409.29,414.76,413.49,0,0,0,,,,,0
18/10/2014,02:04:33,408.48,413.44,413.14,0,0,0,,,,,0
18/10/2014,02:09:33,408.57,413.27,413.09,0,0,0,,,,,0
18/10/2014,02:14:33,408.69,413.7,412.54,0,0,0,,,,,0
18/10/2014,02:19:33,408.78,413.09,413.01,0,0,0,,,,,0
18/10/2014,02:24:33,407.93,412.84,413.3,0,0,0,,,,,0
18/10/2014,02:29:33,409.1,413.94,413.54,0,0,0,,,,,0
18/10/2014,02:34:33,409.33,414.52,413.74,0,0,0,,,,,0
18/10/2014,02:39:33,409.19,413.98,413.18,0,0,0,,,,,0
18/10/2014,02:44:33,408.56,413.45,413.17,0,0,0,,,,,0
18/10/2014,02:49:33,408.98,414.62,413.4,0,0,0,,,,,0
18/10/2014,02:54:33,409.68,414.21,413.75,0,0,0,,,,,0
18/10/2014,02:59:33,409.6,414.57,413.63,0,0,0,,,,,0
18/10/2014,03:04:33,408.52,413.68,414.13,0,0,0,,,,,0
18/10/2014,03:09:33,409.2,414.12,413.6,0,0,0,,,,,0
18/10/2014,03:14:33,409.43,414.27,413.71,0,0,0,,,,,0
18/10/2014,03:19:33,409.92,414.75,414.19,0,0,0,,,,,0
18/10/2014,03:24:33,409.98,414.48,413.94,0,0,0,,,,,0
18/10/2014,03:29:33,409.4,414.43,413.64,0,0,0,,,,,0
18/10/2014,03:34:33,409.46,414.3,413.76,0,0,0,,,,,0
18/10/2014,03:39:33,409.29,414.17,413.18,0,0,0,,,,,0
18/10/2014,03:44:33,409.04,414.45,413.71,0,0,0,,,,,0
18/10/2014,03:49:33,409.85,414.67,414.27,0,0,0,,,,,0
18/10/2014,03:54:33,409.74,414.89,413.76,0,0,0,,,,,0
18/10/2014,03:59:33,409.43,414.53,413.55,0,0,0,,,,,0
18/10/2014,04:04:33,409.26,414.02,413.33,0,0,0,,,,,0
18/10/2014,04:09:33,409.28,414.21,413.71,0,0,0,,,,,0
18/10/2014,04:14:33,409.32,414.06,413.15,0,0,0,,,,,0
18/10/2014,04:19:33,408.88,413.71,413.72,0,0,0,,,,,0
18/10/2014,04:24:33,408.28,413.87,412.61,0,0,0,,,,,0
18/10/2014,04:29:33,408.56,413.76,412.56,0,0,0,,,,,0
18/10/2014,04:34:33,409.51,414.17,413.45,0,0,0,,,,,0
18/10/2014,04:39:33,408.76,413.31,413.79,0,0,0,,,,,0
18/10/2014,04:44:33,409.24,414.24,413.2,0,0,0,,,,,0
18/10/2014,04:49:33,409.79,414.63,413.71,0,0,0,,,,,0
18/10/2014,04:54:33,409.74,414.55,413.87,0,0,0,,,,,0
18/10/2014,04:59:33,408.96,413.78,413.21,0,0,0,,,,,0
18/10/2014,05:04:33,408.65,413.72,412.95,0,0,0,,,,,0
18/10/2014,05:09:33,409.61,413.82,413.55,0,0,0,,,,,0
18/10/2014,05:14:33,408.93,413.83,413.11,0,0,0,,,,,0
18/10/2014,05:19:33,408.77,413.76,412.46,0,0,0,,,,,0
18/10/2014,05:24:33,408.99,414.03,413.41,0,0,0,,,,,0
18/10/2014,05:29:33,408.43,413.31,412.62,0,0,0,,,,,0
18/10/2014,05:34:33,407.29,412.56,412.31,0,0,0,,,,,0
18/10/2014,05:39:33,407.84,412.51,411.93,0,0,0,,,,,0
18/10/2014,05:44:33,407.6,412.55,412.17,0,0,0,,,,,0
18/10/2014,05:49:33,408.12,412.66,412.02,0,0,0,,,,,0
18/10/2014,05:54:33,406.26,411.66,411.5,0,0,0,,,,,0
18/10/2014,05:59:33,407.25,412.07,411.25,0,0,0,,,,,0
18/10/2014,06:04:33,407.01,411.63,411.1,0,0,0,,,,,0
18/10/2014,06:09:33,406.14,410.4,410.29,0,0,0,,,,,0
18/10/2014,06:14:33,406.67,411.66,411.38,0,0,0,,,,,0
18/10/2014,06:19:33,406.22,411.08,410.3,0,0,0,,,,,0
18/10/2014,06:24:33,405.42,410.35,409.84,0,0,0,,,,,0
18/10/2014,06:29:33,406.95,411.38,410.9,0,0,0,,,,,0
18/10/2014,06:34:33,406.2,411.04,410.49,0,0,0,,,,,0
18/10/2014,06:39:33,407.99,412.51,412.3,0,0,0,,,,,0
18/10/2014,06:44:33,408.04,412.98,412.51,0,0,0,,,,,0
18/10/2014,06:49:33,407.47,412.5,412.87,0,0,0,,,,,0
18/10/2014,06:54:33,407.47,413,412.24,0,0,0,,,,,0
18/10/2014,06:59:33,407.03,412.02,411.54,0,0,0,,,,,0
18/10/2014,07:04:33,405.98,411.55,411.13,0,0,0,,,,,0
18/10/2014,07:09:33,406.47,412.1,412.11,0,0,0,,,,,0
18/10/2014,07:14:33,406.82,412.35,412.12,0,0,0,,,,,0
18/10/2014,07:19:33,407.81,412.65,412.42,0,0,0,,,,,0
18/10/2014,07:24:33,407.25,412.73,411.82,0,0,0,,,,,0
18/10/2014,07:29:33,406.66,412.79,412.11,0,0,0,,,,,0
18/10/2014,07:34:33,406.98,412.07,411.48,0,0,0,,,,,0
18/10/2014,07:39:33,407.34,412.7,412.01,0,0,0,,,,,0
18/10/2014,07:44:33,406.71,412.56,412.66,0,0,0,,,,,0
18/10/2014,07:49:33,407.64,412.9,412.91,0,0,0,,,,,0
18/10/2014,07:54:33,406.87,411.15,411.04,0,0,0,,,,,0
18/10/2014,07:59:33,406.65,412.61,411.24,0,0,0,,,,,0
18/10/2014,08:04:33,404.49,411.17,411.03,0,0,0,,,,,0
18/10/2014,08:09:33,405.26,411.99,411.08,0,0,0,,,,,0
18/10/2014,08:14:33,405.47,411.57,410.32,0,0,0,,,,,0
18/10/2014,08:19:33,405.39,411.46,410.55,0,0,0,,,,,0
18/10/2014,08:24:33,404.58,410.69,410.29,0,0,0,,,,,0
18/10/2014,08:29:33,404.62,410.27,409.8,0,0,0,,,,,0
18/10/2014,08:34:33,404.92,410.93,409.92,0,0,0,,,,,0
18/10/2014,08:39:33,403.54,409.61,409.93,0,0,0,,,,,0
18/10/2014,08:44:33,404.52,410.52,409.81,0,0,0,,,,,0
18/10/2014,08:49:33,403.62,410.33,409.04,0,0,0,,,,,0
18/10/2014,08:54:33,403.3,409.04,408.26,0,0,0,,,,,0
18/10/2014,08:59:33,402.51,409.02,409.14,0,0,0,,,,,0
18/10/2014,09:04:33,402.93,409.62,408.28,0,0,0,,,,,0
18/10/2014,09:09:33,404.53,410.22,409.25,0,0,0,,,,,0
18/10/2014,09:14:33,407.34,413.24,411.96,0,0,0,,,,,0
18/10/2014,09:19:33,406.58,412.81,411.48,0,0,0,,,,,0
18/10/2014,09:24:33,406.61,412.57,410.99,0,0,0,,,,,0
18/10/2014,09:29:33,406.48,412.44,411.85,0,0,0,,,,,0
18/10/2014,09:34:33,405.15,410.76,411.36,0,0,0,,,,,0
18/10/2014,09:39:33,406.84,413.42,411.99,0,0,0,,,,,0
18/10/2014,09:44:33,406.89,413.12,411.71,0,0,0,,,,,0
18/10/2014,09:49:33,406.66,412.88,411.78,0,0,0,,,,,0
18/10/2014,09:54:33,404.75,411.96,411.46,0,0,0,,,,,0
18/10/2014,09:59:33,406.77,412.53,411.66,0,0,0,,,,,0
18/10/2014,10:04:33,406.43,412.18,411.09,0,0,0,,,,,0
18/10/2014,10:09:33,405.77,411.77,410.56,0,0,0,,,,,0
18/10/2014,10:14:33,404.64,410.69,410.57,0,0,0,,,,,0
18/10/2014,10:19:33,405.58,411.88,410.32,0,0,0,,,,,0
18/10/2014,10:24:33,403.44,409.93,408.87,0,0,0,,,,,0
18/10/2014,10:29:33,405.87,411.89,410.6,0,0,0,,,,,0
18/10/2014,10:34:33,404.3,409.88,409.72,0,0,0,,,,,0
18/10/2014,10:39:33,405.32,410.96,410.06,0,0,0,,,,,0
18/10/2014,10:44:33,405.42,411.25,410,0,0,0,,,,,0
18/10/2014,10:49:33,404.28,410.67,409.55,0,0,0,,,,,0
18/10/2014,10:54:33,402.52,408.86,408.42,0,0,0,,,,,0
18/10/2014,10:59:33,404.78,410.62,409.81,0,0,0,,,,,0
18/10/2014,11:04:33,403.01,408.99,407.92,0,0,0,,,,,0
18/10/2014,11:09:33,405.77,411.64,410.23,0,0,0,,,,,0
18/10/2014,11:14:33,405.96,411.95,410.95,0,0,0,,,,,0
18/10/2014,11:19:33,406.06,412.02,410.77,0,0,0,,,,,0
18/10/2014,11:24:33,405.76,411.35,410.04,0,0,0,,,,,0
18/10/2014,11:29:33,405.88,412.25,411.38,0,0,0,,,,,0
18/10/2014,11:34:33,404.85,411.37,409.8,0,0,0,,,,,0
18/10/2014,11:39:33,405.93,411.92,410.96,0,0,0,,,,,0
18/10/2014,11:44:33,405.74,411.82,410.44,0,0,0,,,,,0
18/10/2014,11:49:33,405.72,411.77,410.86,0,0,0,,,,,0
18/10/2014,11:54:33,405.92,412.01,410.75,0,0,0,,,,,0
18/10/2014,11:59:33,404.88,411.53,411.04,0,0,0,,,,,0
18/10/2014,12:04:33,406.23,412.56,411.35,0,0,0,,,,,0
18/10/2014,12:09:33,404.94,411.68,410.69,0,0,0,,,,,0
18/10/2014,12:14:33,405.89,411.76,410.33,0,0,0,,,,,0
18/10/2014,12:19:33,405.48,410.91,410.54,0,0,0,,,,,0
18/10/2014,12:24:33,406.34,412.57,411.55,0,0,0,,,,,0
18/10/2014,12:29:33,406.6,412.47,411.4,0,0,0,,,,,0
18/10/2014,12:34:33,405.92,412.44,410.78,0,0,0,,,,,0
18/10/2014,12:39:33,405.82,411.73,410.65,0,0,0,,,,,0
18/10/2014,12:44:33,407.68,413.57,411.5,0,0,0,,,,,0
18/10/2014,12:49:33,407.23,413.12,411.98,0,0,0,,,,,0
18/10/2014,12:54:33,406.48,412.78,410.96,0,0,0,,,,,0
18/10/2014,12:59:33,406.88,413.6,413.01,0,0,0,,,,,0
18/10/2014,13:04:33,407.56,413.67,412.34,0,0,0,,,,,0
18/10/2014,13:09:33,408.01,414,412.49,0,0,0,,,,,0
18/10/2014,13:14:33,407.21,413.41,412.03,0,0,0,,,,,0
18/10/2014,13:19:33,406.51,412.62,412.47,0,0,0,,,,,0
18/10/2014,13:24:33,408.38,413.78,413.02,0,0,0,,,,,0
18/10/2014,13:29:33,407.62,413.97,412.81,0,0,0,,,,,0
18/10/2014,13:34:33,408.41,414.64,412.88,0,0,0,,,,,0
18/10/2014,13:39:33,409.17,415.85,413.94,0,0,0,,,,,0
18/10/2014,13:44:33,409.42,415.58,413.65,0,0,0,,,,,0
18/10/2014,13:49:33,409.65,415.61,414.34,0,0,0,,,,,0
18/10/2014,13:54:33,408.45,414.14,413.07,0,0,0,,,,,0
18/10/2014,13:59:33,408.34,414.59,413.25,0,0,0,,,,,0
18/10/2014,14:04:33,408.9,415.09,413.57,0,0,0,,,,,0
18/10/2014,14:09:33,407.22,413.68,412.12,0,0,0,,,,,0
18/10/2014,14:14:33,408.27,414.51,412.99,0,0,0,,,,,0
18/10/2014,14:19:33,406.06,412.73,411.92,0,0,0,,,,,0
18/10/2014,14:24:33,407.84,413.85,412.42,0,0,0,,,,,0
18/10/2014,14:29:33,408.02,413.72,412.43,0,0,0,,,,,0
18/10/2014,14:34:33,408.13,414.57,412.83,0,0,0,,,,,0
18/10/2014,14:39:33,407.17,413.43,413.33,0,0,0,,,,,0
18/10/2014,14:44:33,407.75,413.48,412.29,0,0,0,,,,,0
18/10/2014,14:49:33,405.45,412.88,410.79,0,0,0,,,,,0
18/10/2014,14:54:33,407,412.81,411.61,0,0,0,,,,,0
18/10/2014,14:59:33,406.3,412.3,412.32,0,0,0,,,,,0
18/10/2014,15:04:33,407.19,413.25,412.07,0,0,0,,,,,0
18/10/2014,15:09:33,407.43,413.44,411.94,0,0,0,,,,,0
18/10/2014,15:14:33,410.59,416.16,415.21,2.31,2.71,2.67,,,,,1889.06
18/10/2014,15:19:33,406.68,413.05,412.92,0,0,1.01,,,,,380.27
18/10/2014,15:24:33,407.74,414.34,412.87,0,0,0,,,,,0
18/10/2014,15:29:33,406.64,412.74,411.34,0,0,0,,,,,0
18/10/2014,15:34:33,407.51,413.36,412.11,0,0,0,,,,,0
18/10/2014,15:39:33,408.49,414.1,412.9,0,0,0,,,,,0
18/10/2014,15:44:33,407.22,413.1,412.75,0,0,0,,,,,0
18/10/2014,15:49:33,407.45,413.9,412.27,0,0,0,,,,,0
18/10/2014,15:54:33,407.67,413.63,412.44,0,0,0,,,,,0
18/10/2014,15:59:33,407.68,413.68,412.49,0,0,0,,,,,0
18/10/2014,16:04:33,407.83,413.71,412.59,0,0,0,,,,,0
18/10/2014,16:09:33,407.48,413.6,412.29,0,0,0,,,,,0
18/10/2014,16:14:33,408.35,414.64,413.36,0,0,0,,,,,0
18/10/2014,16:19:33,408.04,414.17,413.03,0,0,0,,,,,0
18/10/2014,16:24:33,408.41,414.62,413.58,0,0,0,,,,,0
18/10/2014,16:29:33,408.49,414.7,413.32,0,0,0,,,,,0
18/10/2014,16:34:33,408.58,414.6,413.48,0,0,0,,,,,0
18/10/2014,16:39:33,408.12,414.24,413.98,0,0,0,,,,,0
18/10/2014,16:44:33,408.03,414.02,412.78,0,0,0,,,,,0
18/10/2014,16:49:33,408.76,415.01,413.06,0,0,0,,,,,0
18/10/2014,16:54:33,409.47,415.22,413.81,0,0,0,,,,,0
18/10/2014,16:59:33,408.74,415.05,413.76,0,0,0,,,,,0
18/10/2014,17:04:33,409.01,415.49,413.84,0,0,0,,,,,0
18/10/2014,17:09:33,407.3,413.18,412.17,0,0,0,,,,,0
18/10/2014,17:14:33,406.37,412.23,411.77,0,0,0,,,,,0
18/10/2014,17:19:33,406.91,412.78,411.8,0,0,0,,,,,0
18/10/2014,17:24:33,406.52,412.79,411.39,0,0,0,,,,,0
18/10/2014,17:29:33,407.59,413.73,412.51,0,0,0,,,,,0
18/10/2014,17:34:33,406.94,413,412.09,0,0,0,,,,,0
18/10/2014,17:39:33,406.77,412.72,411.53,0,0,0,,,,,0
18/10/2014,17:44:33,407.67,413.45,412.49,0,0,0,,,,,0
18/10/2014,17:49:33,407.6,413.38,412.17,0,0,0,,,,,0
18/10/2014,17:54:33,406.15,411.73,410.61,0,0,0,,,,,0
18/10/2014,17:59:33,407.17,413.25,412.49,0,0,0,,,,,0
18/10/2014,18:04:33,406.8,413.14,411.82,0,0,0,,,,,0
18/10/2014,18:09:33,406.41,412.56,412.36,0,0,0,,,,,0
18/10/2014,18:14:33,406.14,412.31,411.44,0,0,0,,,,,0
18/10/2014,18:19:33,406.99,413.03,412.33,0,0,0,,,,,0
18/10/2014,18:24:33,406.79,412.74,411.54,0,0,0,,,,,0
