Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
24/10/2018,17:50:00,411.6,411.4,413.9,0,0,1.004,,,314.3,0.3143,0.0786,0.08
24/10/2018,18:05:00,411.6,411.5,414.4,0.453,0.002,0.537,,,38.79,0.0388,0.0883,0.09
24/10/2018,18:20:00,406.2,407.9,415.4,0,0,0,,,0.043,0,0.0883,0.09
24/10/2018,18:35:00,412.9,412.4,416,0,0,0,,,0,0,0.0883,0.09
24/10/2018,18:50:00,413.5,412.9,416.3,0,0,0,,,0,0,0.0883,0.09
24/10/2018,19:05:00,412.3,411.5,416.1,0,0,0,,,0.086,0.0001,0.0883,0.09
24/10/2018,19:20:00,411.1,410.5,414.8,0,0,0,,,0,0,0.0883,0.09
24/10/2018,19:35:00,410.6,410.3,414.6,0,0,0,,,0,0,0.0883,0.09
24/10/2018,19:50:00,411.8,410.9,415.4,0,0,0,,,0,0,0.0883,0.09
24/10/2018,20:05:00,413.1,412.5,416.8,0,0,0,,,0.043,0,0.0883,0.09
24/10/2018,20:20:00,414,413.5,417.6,0,0,0,,,0,0,0.0883,0.09
24/10/2018,20:35:00,413.6,413,417.2,0,0,0,,,0.044,0,0.0883,0.09
24/10/2018,20:50:00,413.6,413.4,417.3,0,0,0,,,0.087,0.0001,0.0883,0.09
24/10/2018,21:05:00,414.6,414.2,418.4,0,0,0,,,0,0,0.0883,0.09
24/10/2018,21:20:00,414.6,414.1,418.1,0,0,0,,,0,0,0.0883,0.09
24/10/2018,21:35:00,414.2,413.6,417.8,0,0,0,,,0.089,0.0001,0.0884,0.09
24/10/2018,21:50:00,414.5,413.9,418,0,0,0,,,0.089,0.0001,0.0884,0.09
24/10/2018,22:05:00,411.7,411.4,415.8,0,0,0,,,0,0,0.0884,0.09
24/10/2018,22:20:00,412.4,411.9,416,0,0,0,,,0.045,0,0.0884,0.09
24/10/2018,22:35:00,413.1,412.5,416.7,0,0,0,,,0,0,0.0884,0.09
24/10/2018,22:50:00,414,413.2,417.5,0,0,0,,,0.045,0,0.0884,0.09
24/10/2018,23:05:00,414.8,414,418.4,0,0,0,,,0,0,0.0884,0.09
24/10/2018,23:20:00,415.1,414.5,418.6,0,0,0,,,0.135,0.0001,0.0884,0.09
24/10/2018,23:35:00,415.4,414.8,418.9,0,0,0,,,0,0,0.0884,0.09
24/10/2018,23:50:00,415.7,415.2,419.2,0,0,0,,,0.045,0,0.0885,0.09
25/10/2018,00:05:00,415.5,414.9,419,0,0,0,,,0,0,0.0885,0.09
25/10/2018,00:20:00,415.6,415,419.1,0,0,0,,,0.09,0.0001,0.0885,0.09
25/10/2018,00:35:00,415.2,414.8,418.7,0,0,0,,,0.089,0.0001,0.0885,0.09
25/10/2018,00:50:00,414.5,414,417.8,0,0,0,,,0.089,0.0001,0.0885,0.09
25/10/2018,01:05:00,414.4,414.2,417.9,0,0,0,,,0.044,0,0.0885,0.09
25/10/2018,01:20:00,415.3,414.8,418.4,0,0,0,,,0,0,0.0885,0.09
25/10/2018,01:35:00,415.8,415.5,419.1,0,0,0,,,0.045,0,0.0885,0.09
25/10/2018,01:50:00,415.4,415,418.6,0,0,0,,,0.088,0.0001,0.0886,0.09
25/10/2018,02:05:00,414.4,414.2,417.9,0,0,0,,,0,0,0.0886,0.09
25/10/2018,02:20:00,414.5,414.2,417.8,0,0,0,,,0.044,0,0.0886,0.09
25/10/2018,02:35:00,414.8,414.4,417.9,0,0,0,,,0,0,0.0886,0.09
25/10/2018,02:50:00,415.1,414.9,418.5,0,0,0,,,0.045,0,0.0886,0.09
25/10/2018,03:05:00,415.3,414.8,418.2,0,0,0,,,0,0,0.0886,0.09
25/10/2018,03:20:00,414.8,414.4,418,0,0,0,,,0,0,0.0886,0.09
25/10/2018,03:35:00,415.1,414.9,418.2,0,0,0,,,0.044,0,0.0886,0.09
25/10/2018,03:50:00,415,414.3,417.8,0,0,0,,,0.045,0,0.0886,0.09
25/10/2018,04:05:00,414.6,414.3,417.9,0,0,0,,,0,0,0.0886,0.09
25/10/2018,04:20:00,415.3,414.9,418.3,0,0,0,,,0.043,0,0.0886,0.09
25/10/2018,04:35:00,414.9,414.6,418.2,0,0,0,,,0.044,0,0.0886,0.09
25/10/2018,04:50:00,414.2,413.8,417.4,0,0,0,,,0,0,0.0886,0.09
25/10/2018,05:05:00,414.1,413.4,417.1,0,0,0,,,0.043,0,0.0886,0.09
25/10/2018,05:20:00,414,413.6,417.4,0,0,0,,,0,0,0.0886,0.09
25/10/2018,05:35:00,413,412.4,416.2,0,0,0,,,0,0,0.0886,0.09
25/10/2018,05:50:00,411.6,411,414.8,0,0,0,,,0,0,0.0886,0.09
25/10/2018,06:05:00,410.2,409.9,413.8,0,0,0,,,0,0,0.0886,0.09
25/10/2018,06:20:00,409.6,409.1,413.3,0,0,0,,,0,0,0.0886,0.09
25/10/2018,06:35:00,409.3,408.9,413.1,0,0,0,,,0,0,0.0886,0.09
25/10/2018,06:50:00,408.4,407.7,412,0,0,0,,,0,0,0.0886,0.09
25/10/2018,07:05:00,408.4,408.4,412.3,0,0,0,,,0,0,0.0886,0.09
25/10/2018,07:20:00,407.8,408,411.8,0,0,0,,,0,0,0.0886,0.09
25/10/2018,07:35:00,408.2,408.5,412.1,0,0,0,,,0,0,0.0886,0.09
25/10/2018,07:50:00,403.4,404.3,411.4,0,0,0,,,0,0,0.0886,0.09
25/10/2018,08:05:00,403.2,404.2,410.1,0,0,0,,,0,0,0.0886,0.09
25/10/2018,08:20:00,408.2,408.8,412.4,0.577,0.625,0.936,,,323.4,0.3234,0.1695,0.17
25/10/2018,08:35:00,413.2,413,415.4,2.491,2.61,3.391,,,2125,2.125,0.7007,0.7
25/10/2018,08:50:00,414.9,415,417,4.443,4.584,5.466,,,3480,3.48,1.5707,1.57
25/10/2018,09:05:00,417.1,417.2,419.4,5.588,5.728,6.69,,,4357,4.357,2.66,2.66
25/10/2018,09:20:00,416.9,416.3,418.7,6.113,6.225,7.217,,,4736,4.736,3.844,3.84
25/10/2018,09:35:00,415.7,415.3,417.5,6.583,6.695,7.709,,,5070,5.07,5.1115,5.11
25/10/2018,09:50:00,417.7,417.3,419.4,6.988,7.077,8.143,,,5401,5.401,6.4617,6.46
25/10/2018,10:05:00,418.1,417.4,419.1,7.224,7.319,8.385,,,5575,5.575,7.8555,7.86
25/10/2018,10:20:00,417.2,416.5,418.5,7.512,7.588,8.675,,,5775,5.775,9.2992,9.3
25/10/2018,10:35:00,418.8,418.2,419.9,7.631,7.716,8.799,,,5882,5.882,10.7697,10.77
25/10/2018,10:50:00,418.8,418.1,420,7.784,7.864,8.959,,,5996,5.996,12.2687,12.27
25/10/2018,11:05:00,418.9,418.1,420,8.255,8.314,9.452,,,6351,6.351,13.8565,13.86
25/10/2018,11:20:00,419.6,418.9,420.8,7.741,7.813,8.922,,,5980,5.98,15.3515,15.35
25/10/2018,11:35:00,420.6,420.1,421.7,7.734,7.803,8.91,,,5980,5.98,16.8465,16.85
25/10/2018,11:50:00,420.7,420.2,421.8,7.698,7.773,8.862,,,5944,5.944,18.3325,18.33
25/10/2018,12:05:00,420.4,419.8,421.5,7.482,7.559,8.65,,,5790,5.79,19.78,19.78
25/10/2018,12:20:00,418.9,419,420.9,7.035,7.161,8.205,,,5452,5.452,21.143,21.14
25/10/2018,12:35:00,417.1,417,418.8,5.858,5.995,6.972,,,4554,4.554,22.2815,22.28
25/10/2018,12:50:00,418.6,418.3,420.3,7.16,7.266,8.327,,,5537,5.537,23.6657,23.67
25/10/2018,13:05:00,418.9,418.5,420.3,6.846,6.954,7.998,,,5309,5.309,24.993,24.99
25/10/2018,13:20:00,418.7,418,420.1,6.628,6.699,7.756,,,5142,5.142,26.2785,26.28
25/10/2018,13:35:00,417.5,416.6,418.8,5.923,6.005,7.037,,,4619,4.619,27.4332,27.43
25/10/2018,13:50:00,417.5,416.2,418.7,5.87,5.937,6.963,,,4562,4.562,28.5737,28.57
25/10/2018,14:05:00,417,416.1,418.1,5.476,5.568,6.565,,,4305,4.305,29.65,29.65
25/10/2018,14:20:00,417,416.3,418.4,5.912,6.018,7.013,,,4584,4.584,30.796,30.8
25/10/2018,14:35:00,415.9,415.5,417.3,5.339,5.466,6.422,,,4152,4.152,31.834,31.83
25/10/2018,14:50:00,409.1,409.3,411.5,1.251,1.224,1.95,,,1177,1.177,32.1282,32.13
25/10/2018,15:05:00,408.2,408.5,411.4,0.574,0.547,0.932,,,484.7,0.4847,32.2494,32.25
25/10/2018,15:20:00,414.9,414.5,416.4,4.568,4.718,5.64,,,3586,3.586,33.1459,33.15
25/10/2018,15:35:00,416.7,416.2,417.6,4.321,4.462,5.367,,,3410,3.41,33.9984,34
25/10/2018,15:50:00,416.4,416.1,417.9,3.331,3.468,4.335,,,2690,2.69,34.6709,34.67
25/10/2018,16:05:00,414.6,414.2,416.1,1.953,2.014,2.809,,,1700,1.7,35.0959,35.1
25/10/2018,16:20:00,415.4,415,416.6,2.543,2.675,3.467,,,2058,2.058,35.6104,35.61
25/10/2018,16:35:00,415.3,414.8,416.6,2.242,2.372,3.156,,,1832,1.832,36.0684,36.07
25/10/2018,16:50:00,414.9,414.7,416.5,1.271,1.362,2.157,,,1148,1.148,36.3554,36.36
25/10/2018,17:05:00,414.9,414.8,416.5,0.951,1.075,1.903,,,913.8,0.9138,36.5839,36.58
25/10/2018,17:20:00,410.7,411.1,414.2,0.047,0.006,0.64,,,141.4,0.1414,36.6192,36.62
25/10/2018,17:35:00,415.2,414.8,416.9,0,0,1.337,,,489.6,0.4896,36.7416,36.74
25/10/2018,17:50:00,414.4,414.1,416.6,0,0,0.872,,,252,0.252,36.8046,36.8
25/10/2018,18:05:00,412.9,412.9,415.5,0.323,0.002,0.357,,,15.36,0.0154,36.8085,36.81
25/10/2018,18:20:00,406.5,408.1,414.7,0,0,0,,,0,0,36.8085,36.81
25/10/2018,18:35:00,412.4,412.5,416.6,0,0,0,,,0.044,0,36.8085,36.81
25/10/2018,18:50:00,413.3,413.2,416.1,0,0,0,,,0,0,36.8085,36.81
25/10/2018,19:05:00,411,410.5,414.2,0,0,0,,,0,0,36.8085,36.81
25/10/2018,19:20:00,408.6,408.3,412.5,0,0,0,,,0,0,36.8085,36.81
25/10/2018,19:35:00,408.5,408,412.2,0,0,0,,,0,0,36.8085,36.81
25/10/2018,19:50:00,408.8,408.4,412.5,0,0,0,,,0,0,36.8085,36.81
25/10/2018,20:05:00,409.8,409.6,413.4,0,0,0,,,0.042,0,36.8085,36.81
25/10/2018,20:20:00,410.4,410.3,414.3,0,0,0,,,0,0,36.8085,36.81
25/10/2018,20:35:00,411.5,411.2,415.3,0,0,0,,,0,0,36.8085,36.81
25/10/2018,20:50:00,412.8,412.4,416.8,0,0,0,,,0.132,0.0001,36.8085,36.81
25/10/2018,21:05:00,414.5,414,418.3,0,0,0,,,0.09,0.0001,36.8085,36.81
25/10/2018,21:20:00,413.6,413,417.3,0,0,0,,,0,0,36.8085,36.81
25/10/2018,21:35:00,414.7,414.2,418.1,0,0,0,,,0.044,0,36.8086,36.81
25/10/2018,21:50:00,414.6,414.2,418.3,0,0,0,,,0.044,0,36.8086,36.81
25/10/2018,22:05:00,414,413.8,417.8,0,0,0,,,0,0,36.8086,36.81
25/10/2018,22:20:00,414.3,414.1,418.1,0,0,0,,,0,0,36.8086,36.81
25/10/2018,22:35:00,415.3,414.7,418.6,0,0,0,,,0,0,36.8086,36.81
25/10/2018,22:50:00,414.8,414.2,418.1,0,0,0,,,0,0,36.8086,36.81
25/10/2018,23:05:00,415.4,414.6,418.4,0,0,0,,,0.045,0,36.8086,36.81
25/10/2018,23:20:00,415.3,414.8,418.6,0,0,0,,,0,0,36.8086,36.81
25/10/2018,23:35:00,415.7,415.3,418.8,0,0,0,,,0.045,0,36.8086,36.81
25/10/2018,23:50:00,415.7,415.3,419,0,0,0,,,0,0,36.8086,36.81
26/10/2018,00:05:00,415,414.8,418.4,0,0,0,,,0.045,0,36.8086,36.81
26/10/2018,00:20:00,415.3,415.1,418.5,0,0,0,,,0.045,0,36.8086,36.81
26/10/2018,00:35:00,415.9,415.5,419,0,0,0,,,0,0,36.8086,36.81
26/10/2018,00:50:00,415.2,414.9,418.3,0,0,0,,,0,0,36.8086,36.81
26/10/2018,01:05:00,414.4,413.9,417.2,0,0,0,,,0.09,0.0001,36.8086,36.81
26/10/2018,01:20:00,414.7,414.5,417.8,0,0,0,,,0.044,0,36.8086,36.81
26/10/2018,01:35:00,414.4,414.2,417.4,0,0,0,,,0,0,36.8086,36.81
26/10/2018,01:50:00,414.6,414.4,417.6,0,0,0.001,,,0.229,0.0002,36.8087,36.81
26/10/2018,02:05:00,415,414.7,417.9,0,0,0,,,0.045,0,36.8087,36.81
26/10/2018,02:20:00,415.6,415,418.5,0,0,0.001,,,0.274,0.0003,36.8088,36.81
26/10/2018,02:35:00,415.3,415.1,418.4,0,0,0,,,0.045,0,36.8088,36.81
26/10/2018,02:50:00,415.2,414.7,418.2,0,0,0,,,0,0,36.8088,36.81
26/10/2018,03:05:00,415.3,415,418.2,0,0,0,,,0.044,0,36.8088,36.81
26/10/2018,03:20:00,414.6,414.3,417.7,0,0,0,,,0.045,0,36.8088,36.81
26/10/2018,03:35:00,414.4,414,417.3,0,0,0,,,0.135,0.0001,36.8088,36.81
26/10/2018,03:50:00,414.5,414.1,417.4,0,0,0,,,0.044,0,36.8089,36.81
26/10/2018,04:05:00,415.4,414.9,418.2,0,0,0,,,0,0,36.8089,36.81
26/10/2018,04:20:00,415,414.7,418,0,0,0,,,0,0,36.8089,36.81
26/10/2018,04:35:00,414.8,414.4,417.7,0,0,0,,,0,0,36.8089,36.81
26/10/2018,04:50:00,414.7,414.2,417.7,0,0,0,,,0,0,36.8089,36.81
26/10/2018,05:05:00,414.2,413.8,417.3,0,0,0,,,0.09,0.0001,36.8089,36.81
26/10/2018,05:20:00,413.6,413.3,416.9,0,0,0,,,0,0,36.8089,36.81
26/10/2018,05:35:00,413.1,412.8,416.4,0,0,0,,,0.044,0,36.8089,36.81
26/10/2018,05:50:00,412.5,412.1,415.8,0,0,0,,,0.044,0,36.8089,36.81
26/10/2018,06:05:00,411.2,410.9,414.8,0,0,0,,,0,0,36.8089,36.81
26/10/2018,06:20:00,411.5,411.3,415,0,0,0,,,0,0,36.8089,36.81
26/10/2018,06:35:00,410.6,410.2,413.8,0,0,0,,,0,0,36.8089,36.81
26/10/2018,06:50:00,409.6,409.4,413.4,0,0,0,,,0,0,36.8089,36.81
26/10/2018,07:05:00,408.4,408,411.7,0,0,0,,,0.043,0,36.8089,36.81
26/10/2018,07:20:00,408.6,408.5,411.9,0,0,0,,,0.043,0,36.8089,36.81
26/10/2018,07:35:00,408.8,408.8,412.2,0,0,0,,,0,0,36.8089,36.81
26/10/2018,07:50:00,407.8,408.2,411.6,0,0,0,,,0,0,36.8089,36.81
26/10/2018,08:05:00,405.2,406.2,410.9,0,0,0,,,0,0,36.8089,36.81
26/10/2018,08:20:00,407.3,407.8,411.8,0.003,0,0.546,,,123.4,0.1234,36.8398,36.84
26/10/2018,08:35:00,411.1,411.4,413.8,1.175,1.34,2.28,,,1269,1.269,37.157,37.16
26/10/2018,08:50:00,412.3,412.4,414.9,2.795,2.98,3.784,,,2257,2.257,37.7213,37.72
26/10/2018,09:05:00,413.7,413.5,416,3.859,4.033,4.909,,,3061,3.061,38.4865,38.49
26/10/2018,09:20:00,414.7,414.8,417.1,4.469,4.642,5.546,,,3518,3.518,39.366,39.37
26/10/2018,09:35:00,415.7,415.8,418.5,5.153,5.319,6.257,,,4031,4.031,40.3738,40.37
26/10/2018,09:50:00,415.1,414.7,416.9,5.463,5.586,6.532,,,4236,4.236,41.4328,41.43
26/10/2018,10:05:00,415.3,415.4,417.3,5.598,5.728,6.66,,,4330,4.33,42.5153,42.52
26/10/2018,10:20:00,417,417,418.4,5.676,5.813,6.764,,,4410,4.41,43.6178,43.62
26/10/2018,10:35:00,416.8,416.9,418.4,5.655,5.791,6.741,,,4392,4.392,44.7158,44.72
26/10/2018,10:50:00,417.3,417.4,418.7,5.865,6.008,6.967,,,4553,4.553,45.854,45.85
26/10/2018,11:05:00,416.9,416.8,418.5,6.081,6.23,7.201,,,4714,4.714,47.0325,47.03
26/10/2018,11:20:00,416.6,416.2,417.7,6.115,6.255,7.222,,,4728,4.728,48.2145,48.21
26/10/2018,11:35:00,416.7,416.1,417.9,6.288,6.393,7.394,,,4856,4.856,49.4285,49.43
26/10/2018,11:50:00,415.7,415.6,417.3,6.128,6.257,7.229,,,4729,4.729,50.6108,50.61
26/10/2018,12:05:00,416.4,416.2,418,6.153,6.269,7.261,,,4756,4.756,51.7998,51.8
26/10/2018,12:20:00,416.3,416.4,418,6.456,6.599,7.59,,,4982,4.982,53.0453,53.05
26/10/2018,12:35:00,416.9,417,418.5,6.22,6.35,7.335,,,4813,4.813,54.2485,54.25
26/10/2018,12:50:00,417.2,417.2,418.1,6.179,6.319,7.294,,,4781,4.781,55.4438,55.44
26/10/2018,13:05:00,417.1,417.2,418.9,6.018,6.202,7.175,,,4683,4.683,56.6145,56.61
26/10/2018,13:20:00,416.3,416.2,417.9,5.378,5.587,6.521,,,4205,4.205,57.6658,57.67
26/10/2018,13:35:00,415.3,415.3,417.1,5.116,5.337,6.258,,,4007,4.007,58.6675,58.67
26/10/2018,13:50:00,416.5,416.5,418.5,6.225,6.439,7.422,,,4841,4.841,59.8778,59.88
26/10/2018,14:05:00,416.2,416.1,418.1,5.45,5.674,6.615,,,4262,4.262,60.9433,60.94
26/10/2018,14:20:00,415,414.4,416.9,4.468,4.682,5.584,,,3578,3.578,61.8378,61.84
26/10/2018,14:35:00,410.8,410.7,414.4,3.262,3.348,4.033,,,2627,2.627,62.4945,62.49
26/10/2018,14:50:00,416.3,415.5,417.6,4.643,4.872,5.794,,,3683,3.683,63.4153,63.42
26/10/2018,15:05:00,411.9,411.8,414.5,2.591,2.683,3.433,,,2229,2.229,63.9725,63.97
26/10/2018,15:20:00,408.3,408.3,411,0,0,0,,,0,0,63.9725,63.97
26/10/2018,15:35:00,411.8,412.1,414.5,2.615,2.808,3.456,,,2113,2.113,64.5008,64.5
26/10/2018,15:50:00,414.5,413.9,415.9,3.18,3.428,4.256,,,2581,2.581,65.146,65.15
26/10/2018,16:05:00,413.4,413.2,415,2.202,2.438,3.194,,,1865,1.865,65.6123,65.61
26/10/2018,16:20:00,410.8,410.6,412.9,0.762,0.345,1.143,,,273.5,0.2735,65.6806,65.68
26/10/2018,16:35:00,410.5,410.1,412.9,0,0,0,,,0,0,65.6806,65.68
26/10/2018,16:50:00,406.4,407.5,412.8,0,0,0,,,0,0,65.6806,65.68
26/10/2018,17:05:00,401.7,404.3,412.9,0,0,0,,,0,0,65.6806,65.68
26/10/2018,17:20:00,411.3,411,413.6,0,0,0,,,0,0,65.6806,65.68
26/10/2018,17:35:00,409.1,410,413.6,0,0,0,,,0,0,65.6806,65.68
26/10/2018,17:50:00,413.7,413.2,415.7,1.056,0.003,1.064,,,33.53,0.0335,65.689,65.69
26/10/2018,18:05:00,412.4,412.5,415.8,0,0,0,,,0.043,0,65.689,65.69
26/10/2018,18:20:00,409.3,410.7,415.2,0,0,0,,,0.043,0,65.6891,65.69
26/10/2018,18:35:00,414.3,414.3,416.4,0,0,0,,,0,0,65.6891,65.69
26/10/2018,18:50:00,414.6,414.5,417.1,0,0,0,,,0,0,65.6891,65.69
26/10/2018,19:05:00,414.6,414.2,417.9,0,0,0,,,0,0,65.6891,65.69
26/10/2018,19:20:00,413.8,413.6,417.3,0,0,0,,,0,0,65.6891,65.69
26/10/2018,19:35:00,413.6,413.5,417.3,0,0,0,,,0.044,0,65.6891,65.69
26/10/2018,19:50:00,412.7,412.7,416.3,0,0,0,,,0.088,0.0001,65.6891,65.69
26/10/2018,20:05:00,413.7,413.7,417.3,0,0,0,,,0.087,0.0001,65.6891,65.69
26/10/2018,20:20:00,414.1,414.1,417.6,0,0,0,,,0.088,0.0001,65.6891,65.69
26/10/2018,20:35:00,412.8,412.8,416.6,0.001,0,0,,,0.132,0.0001,65.6892,65.69
26/10/2018,20:50:00,413.3,413.3,417.1,0,0,0,,,0.043,0,65.6892,65.69
26/10/2018,21:05:00,413.6,413.3,417.4,0,0,0,,,0,0,65.6892,65.69
26/10/2018,21:20:00,413.4,413.2,417.2,0,0,0,,,0,0,65.6892,65.69
26/10/2018,21:35:00,414.5,414.4,418.6,0,0,0,,,0.044,0,65.6892,65.69
26/10/2018,21:50:00,411.8,411.7,416,0,0,0,,,0.042,0,65.6892,65.69
26/10/2018,22:05:00,410.4,410.3,414.6,0,0,0,,,0,0,65.6892,65.69
26/10/2018,22:20:00,410.5,410.2,414.7,0,0,0,,,0.044,0,65.6892,65.69
26/10/2018,22:35:00,411.2,410.7,415.2,0,0,0,,,0,0,65.6892,65.69
26/10/2018,22:50:00,412.2,411.8,416.1,0,0,0,,,0.044,0,65.6892,65.69
26/10/2018,23:05:00,411.8,411.6,415.9,0,0,0,,,0,0,65.6892,65.69
26/10/2018,23:20:00,413,413.1,417.3,0,0,0,,,0,0,65.6892,65.69
26/10/2018,23:35:00,413.5,413.2,417.6,0,0,0,,,0.044,0,65.6892,65.69
26/10/2018,23:50:00,413.7,413.3,417.8,0,0,0,,,0.045,0,65.6892,65.69
27/10/2018,00:05:00,414.7,414.4,418.3,0,0,0,,,0,0,65.6892,65.69
27/10/2018,00:20:00,415.2,414.8,418.7,0,0,0,,,0.091,0.0001,65.6893,65.69
27/10/2018,00:35:00,415.3,414.9,418.9,0,0,0,,,0.045,0,65.6893,65.69
27/10/2018,00:50:00,415.3,414.8,418.7,0,0,0.002,,,0.321,0.0003,65.6894,65.69
27/10/2018,01:05:00,413.9,413.8,417.6,0,0,0,,,0.136,0.0001,65.6894,65.69
27/10/2018,01:20:00,414.5,414.5,418.2,0,0,0,,,0.046,0,65.6894,65.69
27/10/2018,01:35:00,414.9,415,418.6,0,0,0,,,0.137,0.0001,65.6894,65.69
27/10/2018,01:50:00,414.5,414.7,418.3,0,0,0,,,0.046,0,65.6894,65.69
27/10/2018,02:05:00,414.7,414.6,418.2,0,0,0,,,0,0,65.6894,65.69
27/10/2018,02:20:00,415.5,415.2,419,0,0,0,,,0.092,0.0001,65.6895,65.69
27/10/2018,02:35:00,415.1,414.9,418.5,0,0,0,,,0.045,0,65.6895,65.69
27/10/2018,02:50:00,413.4,412.8,416.6,0,0,0,,,0.09,0.0001,65.6895,65.69
27/10/2018,03:05:00,414.1,413.7,417.3,0,0,0,,,0.09,0.0001,65.6895,65.69
27/10/2018,03:20:00,413.5,413.1,416.6,0,0,0,,,0,0,65.6895,65.69
27/10/2018,03:35:00,413.1,412.7,416.4,0,0,0,,,0.044,0,65.6895,65.69
27/10/2018,03:50:00,413.4,413,416.5,0,0,0,,,0.046,0,65.6895,65.69
27/10/2018,04:05:00,414,413.6,417.2,0,0,0,,,0.09,0.0001,65.6896,65.69
27/10/2018,04:20:00,413.7,413.5,417,0,0,0,,,0.045,0,65.6896,65.69
27/10/2018,04:35:00,413.6,413.2,416.7,0,0,0,,,0,0,65.6896,65.69
27/10/2018,04:50:00,413.3,413,416.7,0,0,0,,,0,0,65.6896,65.69
27/10/2018,05:05:00,413,412.6,416.2,0,0,0,,,0.09,0.0001,65.6896,65.69
27/10/2018,05:20:00,413.5,413.1,416.7,0,0,0,,,0.045,0,65.6896,65.69
27/10/2018,05:35:00,413.1,412.8,416.5,0,0,0,,,0,0,65.6896,65.69
27/10/2018,05:50:00,412.8,412.5,416.3,0,0,0,,,0.089,0.0001,65.6896,65.69
27/10/2018,06:05:00,412,411.8,415.5,0,0,0,,,0.044,0,65.6896,65.69
27/10/2018,06:20:00,411.4,410.9,414.6,0,0,0,,,0,0,65.6896,65.69
27/10/2018,06:35:00,411.4,411.2,415,0,0,0,,,0,0,65.6896,65.69
27/10/2018,06:50:00,411,410.6,414.4,0,0,0,,,0.044,0,65.6897,65.69
27/10/2018,07:05:00,410.6,410.3,414.2,0,0,0,,,0,0,65.6897,65.69
27/10/2018,07:20:00,409.4,409.1,412.8,0,0,0,,,0,0,65.6897,65.69
27/10/2018,07:35:00,409.2,409,413,0,0,0,,,0.043,0,65.6897,65.69
27/10/2018,07:50:00,409.9,409.7,413.5,0,0,0,,,0,0,65.6897,65.69
27/10/2018,08:05:00,408.8,408.6,412.6,0,0,0,,,0,0,65.6897,65.69
27/10/2018,08:20:00,409.3,409.1,413,0,0,0,,,0,0,65.6897,65.69
27/10/2018,08:35:00,409.8,410.1,414.1,0,0,0,,,0.044,0,65.6897,65.69
27/10/2018,08:50:00,395.9,396.3,413,0,0,0,,,0,0,65.6897,65.69
27/10/2018,09:05:00,397.9,398.5,412.1,0,0,0,,,0,0,65.6897,65.69
27/10/2018,09:20:00,405,405.8,413,0,0,0,,,0,0,65.6897,65.69
27/10/2018,09:35:00,408.6,409.5,412,0,0,0,,,0,0,65.6897,65.69
27/10/2018,09:50:00,408.6,409.6,411.6,0.173,0.094,0.911,,,240.4,0.2404,65.7498,65.75
27/10/2018,10:05:00,406.3,407.3,410.3,0.115,0.075,0.556,,,127,0.127,65.7815,65.78
27/10/2018,10:20:00,404.7,405.7,408.3,0,0,0,,,0,0,65.7815,65.78
27/10/2018,10:35:00,406.6,407.4,410.5,0.048,0,0.186,,,27.94,0.0279,65.7885,65.79
27/10/2018,10:50:00,408.1,408.5,411,0.576,0.578,1.012,,,409,0.409,65.8908,65.89
27/10/2018,11:05:00,409.2,409.5,411.4,0.082,0,0.097,,,4.516,0.0045,65.8919,65.89
27/10/2018,11:20:00,409.3,409.6,412.2,0,0,0,,,0,0,65.8919,65.89
27/10/2018,11:35:00,408.3,408.7,411.6,0,0,0,,,0.041,0,65.8919,65.89
27/10/2018,11:50:00,408.5,408.8,411.8,0,0,0,,,0.044,0,65.8919,65.89
27/10/2018,12:05:00,410.1,410.3,413.1,0,0,0,,,0,0,65.8919,65.89
27/10/2018,12:20:00,410.7,410.9,413.2,0,0,0,,,0.085,0.0001,65.8919,65.89
27/10/2018,12:35:00,410.1,410.2,413.2,0,0,0,,,0,0,65.8919,65.89
27/10/2018,12:50:00,407.1,407.6,411.6,0,0,0,,,0,0,65.8919,65.89
27/10/2018,13:05:00,406.8,407.5,413.3,0,0,0,,,0.044,0,65.8919,65.89
27/10/2018,13:20:00,413.1,413.3,415.2,0,0,0,,,0,0,65.8919,65.89
27/10/2018,13:35:00,413.4,413.7,415.8,0,0,0,,,0.045,0,65.892,65.89
27/10/2018,13:50:00,411.9,412.5,415.8,0.18,0.132,0.362,,,91.17,0.0912,65.9147,65.91
27/10/2018,14:05:00,411,411.8,414.7,0.046,0.002,0.105,,,11.32,0.0113,65.9176,65.92
27/10/2018,14:20:00,410.3,411.1,414.7,0,0,0,,,0,0,65.9176,65.92
27/10/2018,14:35:00,409.2,410.6,416,0.401,0.416,0.556,,,314.8,0.3148,65.9963,66
27/10/2018,14:50:00,418.5,418.7,420.4,2.838,2.924,3.756,,,2338,2.338,66.5808,66.58
27/10/2018,15:05:00,413.7,414.1,417.9,0.658,0.603,1.033,,,519.4,0.5194,66.7106,66.71
27/10/2018,15:20:00,415,415.4,417.5,0,0,0,,,0.136,0.0001,66.7107,66.71
27/10/2018,15:35:00,412.1,413.4,417.2,0,0,0,,,0.135,0.0001,66.7107,66.71
27/10/2018,15:50:00,407.3,411.2,418.2,0,0,0,,,0.044,0,66.7107,66.71
27/10/2018,16:05:00,409.3,411.9,418.4,0,0,0,,,0.091,0.0001,66.7107,66.71
