Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],
01/06/2016,00:00:00,0,413.2,0,4.414,0.002,0,,,,0,0
01/06/2016,00:15:00,0,413.3,0,4.406,0.002,0,,,,0,0
01/06/2016,00:30:00,0,412.7,0,4.427,0,0,,,,0,0
01/06/2016,00:45:00,0,412.2,0,4.403,0,0,,,,0,0
01/06/2016,01:00:00,0,412.1,0,4.417,0,0,,,,0,0
01/06/2016,01:15:00,0,412.3,0,4.4,0.001,0,,,,0,0
01/06/2016,01:30:00,0,412.4,0,4.425,0,0,,,,0,0
01/06/2016,01:45:00,0,412.8,0,4.454,0,0,,,,0,0
01/06/2016,02:00:00,0,412.4,0,4.442,0,0,,,,0,0
01/06/2016,02:15:00,0,413.2,0,4.49,0,0,,,,0,0
01/06/2016,02:30:00,0,412.6,0,4.464,0,0,,,,0,0
01/06/2016,02:45:00,0,413.1,0,4.481,0,0,,,,0,0
01/06/2016,03:00:00,0,413.3,0,4.468,0,0,,,,0,0
01/06/2016,03:15:00,0,413.2,0,4.518,0,0,,,,0,0
01/06/2016,03:30:00,0,412.8,0,4.495,0,0,,,,0,0
01/06/2016,03:45:00,0,412.9,0,4.502,0,0,,,,0,0
01/06/2016,04:00:00,0,413.7,0,4.518,0,0,,,,0,0
01/06/2016,04:15:00,0,413.1,0,4.488,0,0,,,,0,0
01/06/2016,04:30:00,0,412.9,0,4.522,0,0,,,,0,0
01/06/2016,04:45:00,0,413.1,0,4.526,0,0,,,,0,0
01/06/2016,05:00:00,0,412.8,0,4.52,0,0,,,,0,0
01/06/2016,05:15:00,0,412.2,0,4.479,0,0,,,,0,0
01/06/2016,05:30:00,0,413.5,0,4.54,0.001,0,,,,0,0
01/06/2016,05:45:00,0,413.4,0,4.556,0.001,0,,,,0,0
01/06/2016,06:00:00,0,412.3,0,4.533,0,0,,,,0,0
01/06/2016,06:15:00,0,411.4,0,4.463,0.001,0,,,,0,0
01/06/2016,06:30:00,0,410.9,0,4.464,0,0,,,,0,0
01/06/2016,06:45:00,0,410.4,0,4.464,0,0,,,,0,0
01/06/2016,07:00:00,0,410.1,0,4.461,0,0,,,,0,0
01/06/2016,07:15:00,0,411.9,0,4.496,0,0,,,,0,0
01/06/2016,07:30:00,0,411.8,0,4.388,0,0,,,,0,0
01/06/2016,07:45:00,0,410.9,0,4.425,0,0,,,,0,0
01/06/2016,08:00:00,0,409.2,0,4.299,0,0,,,,0,0
01/06/2016,08:15:00,0,396.7,0,4.268,0.049,0.152,,,,22.14,0.02214
01/06/2016,08:30:00,0,354.8,0,5.278,0.538,1.733,,,,438,0.438
01/06/2016,08:45:00,0,342.5,0,5.487,1.022,2.024,,,,429.9,0.4299
01/06/2016,09:00:00,0,356.4,0,5.176,0.808,1.71,,,,344.7,0.3447
01/06/2016,09:15:00,0,393.3,0,4.19,0.138,0.256,,,,36,0.036
01/06/2016,09:30:00,0,406.9,0,4.077,0,0,,,,0,0
01/06/2016,09:45:00,0,407.2,0,4.179,0.04,0.047,,,,5.943,0.005943
01/06/2016,10:00:00,0,409,0,4.242,0,0,,,,0,0
01/06/2016,10:15:00,0,375.4,0,4.786,0.373,0.838,,,,141.4,0.1414
01/06/2016,10:30:00,0,394.1,0,4.25,0.086,0.154,,,,20.47,0.02047
01/06/2016,10:45:00,0,407.4,0,4.199,0,0,,,,0,0
01/06/2016,11:00:00,0,407.2,0,4.144,0,0,,,,0,0
01/06/2016,11:15:00,0,407.2,0,4.141,0,0,,,,0,0
01/06/2016,11:30:00,0,406.7,0,4.167,0,0,,,,0,0
01/06/2016,11:45:00,0,407.1,0,4.204,0,0,,,,0,0
01/06/2016,12:00:00,0,407.5,0,4.241,0,0,,,,0,0
01/06/2016,12:15:00,0,407.2,0,4.201,0,0,,,,0,0
01/06/2016,12:30:00,0,403.4,0,4.072,0.078,0.083,,,,10.79,0.01079
01/06/2016,12:45:00,0,383.3,0,4.397,0.147,0.314,,,,55.56,0.05556
01/06/2016,13:00:00,0,378.2,0,4.387,0.071,0.261,,,,36.92,0.03692
01/06/2016,13:15:00,0,369.9,0,5.965,1.692,2.463,,,,545.9,0.5459
01/06/2016,13:30:00,0,352.1,0,6.272,2.028,3.081,,,,723.2,0.7232
01/06/2016,13:45:00,0,344.2,0,6.442,1.958,3.31,,,,875.3,0.8753
01/06/2016,14:00:00,0,350.9,0,5.253,0.774,1.643,,,,346.5,0.3465
01/06/2016,14:15:00,0,343.7,0,5.345,0.486,1.899,,,,508.9,0.5089
01/06/2016,14:30:00,0,345.8,0,6.257,1.934,3.211,,,,866.3,0.8663
01/06/2016,14:45:00,0,360,0,6.165,2.075,3.047,,,,674.8,0.6748
01/06/2016,15:00:00,0,349.9,0,5.733,1.328,2.383,,,,549.6,0.5496
01/06/2016,15:15:00,0,384.5,0,4.584,0.105,0.717,,,,135.3,0.1353
01/06/2016,15:30:00,0,402.3,0,4.146,0.029,0.043,,,,4.66,0.00466
01/06/2016,15:45:00,0,408.7,0,4.155,0,0,,,,0,0
01/06/2016,16:00:00,0,372.8,0,4.574,0.293,0.939,,,,179.4,0.1794
01/06/2016,16:15:00,0,358.7,0,5.501,1.235,2.265,,,,526.6,0.5266
01/06/2016,16:30:00,0,351,0,6.715,2.672,3.784,,,,888.4,0.8884
01/06/2016,16:45:00,0,341.1,0,7.744,3.759,5.114,,,,1324,1.324
01/06/2016,17:00:00,0,373.4,0,5.034,0.966,1.507,,,,254.9,0.2549
01/06/2016,17:15:00,0,407.9,0,4.148,0,0,,,,0,0
01/06/2016,17:30:00,0,377.8,0,4.557,0.114,0.661,,,,137.2,0.1372
01/06/2016,17:45:00,0,409.3,0,4.374,0,0,,,,0,0
01/06/2016,18:00:00,0,404.4,0,4.45,0.002,0.101,,,,15.56,0.01556
01/06/2016,18:15:00,0,363.6,0,4.668,0.101,0.761,,,,134.3,0.1343
01/06/2016,18:30:00,0,410.9,0,4.367,0,0,,,,0,0
01/06/2016,18:45:00,0,411.9,0,4.399,0,0,,,,0,0
01/06/2016,19:00:00,0,413,0,4.474,0,0,,,,0,0
01/06/2016,19:15:00,0,409.3,0,4.353,0,0,,,,0,0
01/06/2016,19:30:00,0,409.2,0,4.332,0,0,,,,0,0
01/06/2016,19:45:00,0,410.3,0,4.325,0,0,,,,0,0
01/06/2016,20:00:00,0,410.5,0,4.33,0,0,,,,0,0
01/06/2016,20:15:00,0,408.9,0,4.302,0,0,,,,0,0
01/06/2016,20:30:00,0,408.2,0,4.458,0,0,,,,0,0
01/06/2016,20:45:00,0,409.5,0,4.499,0,0,,,,0,0
01/06/2016,21:00:00,0,410.7,0,4.5,0,0,,,,0,0
01/06/2016,21:15:00,0,411.4,0,4.497,0.001,0,,,,0,0
01/06/2016,21:30:00,0,411.6,0,4.54,0,0,,,,0,0
01/06/2016,21:45:00,0,411.1,0,4.523,0,0,,,,0,0
01/06/2016,22:00:00,0,410.9,0,4.509,0,0,,,,0,0
01/06/2016,22:15:00,0,410.8,0,4.46,0,0,,,,0,0
01/06/2016,22:30:00,0,411.1,0,4.526,0,0,,,,0,0
01/06/2016,22:45:00,0,412.3,0,4.56,0,0,,,,0,0
01/06/2016,23:00:00,0,413.3,0,4.608,0,0,,,,0,0
01/06/2016,23:15:00,0,413.5,0,4.602,0,0,,,,0,0
01/06/2016,23:30:00,0,410.4,0,4.513,0,0,,,,0,0
01/06/2016,23:45:00,0,411.7,0,4.536,0,0,,,,0,0
02/06/2016,00:00:00,0,411.5,0,4.542,0,0,,,,0,0
02/06/2016,00:15:00,0,412,0,4.564,0,0,,,,0,0
02/06/2016,00:30:00,0,412.8,0,4.538,0.002,0,,,,0,0
02/06/2016,00:45:00,0,412.7,0,4.511,0.002,0,,,,0,0
02/06/2016,01:00:00,0,411.8,0,4.451,0,0,,,,0,0
02/06/2016,01:15:00,0,412.2,0,4.522,0,0,,,,0,0
02/06/2016,01:30:00,0,412.7,0,4.545,0,0,,,,0,0
02/06/2016,01:45:00,0,413.5,0,4.581,0,0,,,,0,0
02/06/2016,02:00:00,0,413.4,0,4.553,0,0,,,,0,0
02/06/2016,02:15:00,0,413.3,0,4.572,0,0,,,,0,0
02/06/2016,02:30:00,0,413.1,0,4.551,0,0,,,,0,0
02/06/2016,02:45:00,0,413.4,0,4.534,0,0,,,,0,0
02/06/2016,03:00:00,0,412.9,0,4.529,0,0,,,,0,0
02/06/2016,03:15:00,0,413.2,0,4.545,0,0,,,,0,0
02/06/2016,03:30:00,0,412.7,0,4.557,0,0,,,,0,0
02/06/2016,03:45:00,0,413.3,0,4.584,0,0,,,,0,0
02/06/2016,04:00:00,0,412.6,0,4.564,0,0,,,,0,0
02/06/2016,04:15:00,0,412.9,0,4.552,0,0,,,,0,0
02/06/2016,04:30:00,0,413.3,0,4.545,0.001,0,,,,0,0
02/06/2016,04:45:00,0,413.5,0,4.589,0,0,,,,0,0
02/06/2016,05:00:00,0,411.8,0,4.517,0,0,,,,0,0
02/06/2016,05:15:00,0,411.3,0,4.537,0,0,,,,0,0
02/06/2016,05:30:00,0,410.8,0,4.485,0,0,,,,0,0
02/06/2016,05:45:00,0,409.9,0,4.436,0,0,,,,0,0
02/06/2016,06:00:00,0,408.7,0,4.394,0,0,,,,0,0
02/06/2016,06:15:00,0,408.8,0,4.396,0,0,,,,0,0
02/06/2016,06:30:00,0,410.6,0,4.413,0,0,,,,0,0
02/06/2016,06:45:00,0,410,0,4.431,0,0,,,,0,0
02/06/2016,07:00:00,0,410.3,0,4.487,0,0,,,,0,0
02/06/2016,07:15:00,0,411.1,0,4.56,0,0,,,,0,0
02/06/2016,07:30:00,0,410.9,0,4.588,0,0,,,,0,0
02/06/2016,07:45:00,0,410.1,0,4.535,0,0,,,,0,0
02/06/2016,08:00:00,0,411.5,0,4.534,0,0,,,,0,0
02/06/2016,08:15:00,0,411.7,0,4.469,0,0,,,,0,0
02/06/2016,08:30:00,0,411.6,0,4.478,0,0,,,,0,0
02/06/2016,08:45:00,0,411.4,0,4.401,0,0,,,,0,0
02/06/2016,09:00:00,0,409.6,0,4.355,0,0,,,,0,0
02/06/2016,09:15:00,0,411.7,0,4.467,0,0,,,,0,0
02/06/2016,09:30:00,0,410.5,0,4.454,0,0,,,,0,0
02/06/2016,09:45:00,0,369.5,0,4.783,0.033,0.614,,,,105.6,0.1056
02/06/2016,10:00:00,0,396.6,0,4.547,0.16,0.243,,,,36.37,0.03637
02/06/2016,10:15:00,0,373.9,0,5.437,0.932,1.467,,,,259.1,0.2591
02/06/2016,10:30:00,0,339.1,0,7.64,3.357,4.679,,,,1198,1.198
02/06/2016,10:45:00,0,345.5,0,5.447,0.633,1.47,,,,288.3,0.2883
02/06/2016,11:00:00,0,399.6,0,4.716,0.219,0.351,,,,48.03,0.04803
02/06/2016,11:15:00,0,409.6,0,4.386,0,0,,,,0,0
02/06/2016,11:30:00,0,408.8,0,4.346,0.001,0,,,,0,0
02/06/2016,11:45:00,0,388.8,0,4.49,0.028,0.24,,,,37.03,0.03703
02/06/2016,12:00:00,0,398.8,0,4.444,0.086,0.18,,,,25.48,0.02548
02/06/2016,12:15:00,0,347.4,0,6.667,2.15,3.482,,,,925.1,0.9251
02/06/2016,12:30:00,0,365.6,0,5.689,1.432,2.163,,,,403.3,0.4033
02/06/2016,12:45:00,0,369.3,0,5.85,1.665,2.404,,,,480.5,0.4805
02/06/2016,13:00:00,0,379.5,0,4.893,0.67,1.129,,,,184.8,0.1848
02/06/2016,13:15:00,0,353.3,0,4.936,0.593,1.103,,,,179.2,0.1792
02/06/2016,13:30:00,0,403.8,0,4.61,0.401,0.563,,,,90.69,0.09069
02/06/2016,13:45:00,0,339.7,0,8.426,4.353,5.713,,,,1392,1.392
02/06/2016,14:00:00,0,351,0,8.084,4.146,5.37,,,,1256,1.256
02/06/2016,14:15:00,0,404.2,0,4.326,0.16,0.341,,,,61.56,0.06156
02/06/2016,14:30:00,0,382.4,0,4.92,0.595,0.866,,,,123.2,0.1232
02/06/2016,14:45:00,0,363.3,0,6.946,2.777,3.736,,,,797.5,0.7975
02/06/2016,15:00:00,0,372.5,0,5.891,1.802,2.487,,,,463.7,0.4637
02/06/2016,15:15:00,0,398.5,0,4.904,0.7,0.971,,,,167.8,0.1678
02/06/2016,15:30:00,0,378.7,0,5.436,1.221,1.851,,,,328,0.328
02/06/2016,15:45:00,0,362.7,0,6.799,2.591,3.672,,,,859.4,0.8594
02/06/2016,16:00:00,0,368.4,0,5.753,1.464,2.383,,,,509.7,0.5097
02/06/2016,16:15:00,0,364,0,6.147,2.289,3.136,,,,655.3,0.6553
02/06/2016,16:30:00,0,354.3,0,6.082,2.109,3.186,,,,737.5,0.7375
02/06/2016,16:45:00,0,400.3,0,4.047,0.146,0.236,,,,31.27,0.03127
02/06/2016,17:00:00,0,406.3,0,3.927,0,0,,,,0,0
02/06/2016,17:15:00,0,392.2,0,4.395,0.367,0.786,,,,159.6,0.1596
02/06/2016,17:30:00,0,401.5,0,4.012,0.03,0.057,,,,6.649,0.006649
02/06/2016,17:45:00,0,408.1,0,4.063,0,0,,,,0,0
02/06/2016,18:00:00,0,390.7,0,4.329,0.004,0.553,,,,96.31,0.09631
02/06/2016,18:15:00,0,358.1,0,4.529,0.036,0.896,,,,178.8,0.1788
02/06/2016,18:30:00,0,409.4,0,4.084,0.001,0,,,,0,0
02/06/2016,18:45:00,0,410.4,0,4.125,0.001,0,,,,0,0
02/06/2016,19:00:00,0,410.8,0,4.205,0.001,0,,,,0,0
02/06/2016,19:15:00,0,412,0,4.295,0,0,,,,0,0
02/06/2016,19:30:00,0,412.5,0,4.317,0.004,0,,,,0,0
02/06/2016,19:45:00,0,412.2,0,4.309,0.004,0,,,,0,0
02/06/2016,20:00:00,0,410,0,4.277,0.001,0,,,,0,0
02/06/2016,20:15:00,0,410.5,0,4.297,0.001,0,,,,0,0
02/06/2016,20:30:00,0,410.4,0,4.386,0,0,,,,0,0
02/06/2016,20:45:00,0,411.6,0,4.518,0,0,,,,0,0
02/06/2016,21:00:00,0,411.8,0,4.477,0.002,0,,,,0,0
02/06/2016,21:15:00,0,411,0,4.353,0.002,0,,,,0,0
02/06/2016,21:30:00,0,410.3,0,4.331,0.001,0,,,,0,0
02/06/2016,21:45:00,0,410.6,0,4.368,0.001,0,,,,0,0
02/06/2016,22:00:00,0,411.6,0,4.466,0,0,,,,0,0
02/06/2016,22:15:00,0,412.1,0,4.488,0,0,,,,0,0
02/06/2016,22:30:00,0,411.4,0,4.464,0.001,0,,,,0,0
02/06/2016,22:45:00,0,412.4,0,4.483,0.001,0,,,,0,0
02/06/2016,23:00:00,0,412.8,0,4.518,0.001,0,,,,0,0
02/06/2016,23:15:00,0,413.5,0,4.58,0.003,0,,,,0,0
02/06/2016,23:30:00,0,414.4,0,4.58,0.002,0,,,,0,0
02/06/2016,23:45:00,0,414.5,0,4.598,0.003,0,,,,0,0
03/06/2016,00:00:00,0,414.7,0,4.627,0.003,0,,,,0,0
03/06/2016,00:15:00,0,413.6,0,4.583,0,0,,,,0,0
03/06/2016,00:30:00,0,413.8,0,4.617,0.001,0,,,,0,0
03/06/2016,00:45:00,0,414.6,0,4.649,0.001,0,,,,0,0
03/06/2016,01:00:00,0,414.9,0,4.667,0.002,0,,,,0,0
03/06/2016,01:15:00,0,414.2,0,4.618,0.001,0,,,,0,0
03/06/2016,01:30:00,0,413.8,0,4.615,0.001,0,,,,0,0
03/06/2016,01:45:00,0,414,0,4.633,0.001,0,,,,0,0
03/06/2016,02:00:00,0,414.2,0,4.644,0.001,0,,,,0,0
03/06/2016,02:15:00,0,414.7,0,4.634,0.001,0,,,,0,0
03/06/2016,02:30:00,0,413.7,0,4.628,0.002,0,,,,0,0
03/06/2016,02:45:00,0,414.4,0,4.665,0.001,0,,,,0,0
03/06/2016,03:00:00,0,414.1,0,4.644,0,0,,,,0,0
03/06/2016,03:15:00,0,414.2,0,4.67,0.003,0,,,,0,0
03/06/2016,03:30:00,0,413.7,0,4.64,0,0,,,,0,0
03/06/2016,03:45:00,0,414.2,0,4.665,0.001,0,,,,0,0
03/06/2016,04:00:00,0,414.2,0,4.686,0.002,0,,,,0,0
03/06/2016,04:15:00,0,414.1,0,4.66,0,0,,,,0,0
03/06/2016,04:30:00,0,413.7,0,4.67,0.001,0,,,,0,0
03/06/2016,04:45:00,0,412.8,0,4.622,0,0,,,,0,0
03/06/2016,05:00:00,0,412.7,0,4.637,0,0,,,,0,0
03/06/2016,05:15:00,0,412.1,0,4.595,0.001,0,,,,0,0
03/06/2016,05:30:00,0,411.3,0,4.595,0,0,,,,0,0
03/06/2016,05:45:00,0,410.8,0,4.568,0,0,,,,0,0
03/06/2016,06:00:00,0,412.7,0,4.676,0,0,,,,0,0
03/06/2016,06:15:00,0,412.2,0,4.659,0,0,,,,0,0
03/06/2016,06:30:00,0,410.4,0,4.621,0,0,,,,0,0
03/06/2016,06:45:00,0,411.2,0,4.654,0,0,,,,0,0
03/06/2016,07:00:00,0,412,0,4.545,0.001,0,,,,0,0
03/06/2016,07:15:00,0,412,0,4.61,0,0,,,,0,0
03/06/2016,07:30:00,0,412.5,0,4.604,0.001,0,,,,0,0
03/06/2016,07:45:00,0,413.6,0,4.674,0,0,,,,0,0
03/06/2016,08:00:00,0,413.6,0,4.737,0,0,,,,0,0
03/06/2016,08:15:00,0,412.9,0,4.663,0.001,0,,,,0,0
03/06/2016,08:30:00,0,411.3,0,4.617,0,0,,,,0,0
03/06/2016,08:45:00,0,410.6,0,4.619,0,0,,,,0,0
03/06/2016,09:00:00,0,410.6,0,4.621,0,0,,,,0,0
03/06/2016,09:15:00,0,411.4,0,4.614,0,0,,,,0,0
03/06/2016,09:30:00,0,344,0,5.491,0.637,1.853,,,,446.9,0.4469
03/06/2016,09:45:00,0,347.9,0,5.634,0.904,2.216,,,,525.1,0.5251
03/06/2016,10:00:00,0,346,0,5.828,1.468,2.567,,,,584.4,0.5844
03/06/2016,10:15:00,0,347.4,0,6.869,2.54,3.84,,,,1024,1.024
03/06/2016,10:30:00,0,342.5,0,7.007,2.731,4.042,,,,1060,1.06
03/06/2016,10:45:00,0,342.4,0,7.039,2.751,4.058,,,,1060,1.06
03/06/2016,11:00:00,0,346.9,0,6.215,1.68,2.908,,,,670.5,0.6705
03/06/2016,11:15:00,0,409.8,0,4.326,0.001,0,,,,0,0
03/06/2016,11:30:00,0,410.1,0,4.377,0.002,0,,,,0,0
03/06/2016,11:45:00,0,411.7,0,4.496,0,0,,,,0,0
03/06/2016,12:00:00,0,412.6,0,4.577,0.001,0,,,,0,0
03/06/2016,12:15:00,0,406.3,0,4.564,0.004,0.08,,,,13.26,0.01326
03/06/2016,12:30:00,0,386.6,0,4.488,0.167,0.415,,,,65.94,0.06594
03/06/2016,12:45:00,0,350.9,0,5.206,0.622,1.433,,,,269.6,0.2696
03/06/2016,13:00:00,0,358.4,0,5.125,0.746,1.52,,,,291.1,0.2911
03/06/2016,13:15:00,0,411.2,0,4.42,0,0,,,,0,0
03/06/2016,13:30:00,0,410.7,0,4.367,0,0,,,,0,0
03/06/2016,13:45:00,0,411.2,0,4.357,0,0,,,,0,0
03/06/2016,14:00:00,0,411.7,0,4.411,0.001,0,,,,0,0
03/06/2016,14:15:00,0,398.8,0,4.671,0.254,0.488,,,,72.34,0.07234
03/06/2016,14:30:00,0,340.9,0,8.4,4.315,5.736,,,,1467,1.467
03/06/2016,14:45:00,0,338.2,0,8.389,4.353,5.793,,,,1457,1.457
03/06/2016,15:00:00,0,347.5,0,6.951,3.037,4.153,,,,933.7,0.9337
03/06/2016,15:15:00,0,338.9,0,8.139,4.25,5.714,,,,1446,1.446
03/06/2016,15:30:00,0,339,0,8.265,4.369,5.817,,,,1474,1.474
03/06/2016,15:45:00,0,337.3,0,7.56,3.658,5.046,,,,1259,1.259
03/06/2016,16:00:00,0,381.9,0,4.728,0.755,1.217,,,,187.4,0.1874
03/06/2016,16:15:00,0,409.6,0,4.01,0,0,,,,0,0
03/06/2016,16:30:00,0,409.5,0,4.095,0.004,0,,,,0,0
03/06/2016,16:45:00,0,395.4,0,4.257,0.116,0.322,,,,49.63,0.04963
03/06/2016,17:00:00,0,411.3,0,4.217,0.001,0,,,,0,0
03/06/2016,17:15:00,0,359.8,0,5.072,0.495,1.49,,,,313.3,0.3133
03/06/2016,17:30:00,0,376.6,0,4.519,0.114,0.594,,,,93.05,0.09305
03/06/2016,17:45:00,0,401.8,0,4.301,0.009,0.057,,,,7.379,0.007379
03/06/2016,18:00:00,0,395.5,0,4.307,0.121,0.275,,,,37.81,0.03781
03/06/2016,18:15:00,0,412,0,4.307,0.002,0,,,,0,0
03/06/2016,18:30:00,0,410.4,0,4.309,0.001,0,,,,0,0
03/06/2016,18:45:00,0,410.6,0,4.255,0.001,0,,,,0,0
03/06/2016,19:00:00,0,380.2,0,4.371,0.046,0.054,,,,5.798,0.005798
03/06/2016,19:15:00,0,411.9,0,4.271,0.004,0,,,,0,0
03/06/2016,19:30:00,0,412.9,0,4.283,0.004,0,,,,0,0
03/06/2016,19:45:00,0,413.9,0,4.335,0.004,0,,,,0,0
03/06/2016,20:00:00,0,413.1,0,4.37,0.004,0,,,,0,0
03/06/2016,20:15:00,0,411.5,0,4.292,0.003,0,,,,0,0
03/06/2016,20:30:00,0,410.8,0,4.311,0.003,0,,,,0,0
03/06/2016,20:45:00,0,411.7,0,4.316,0.002,0,,,,0,0
03/06/2016,21:00:00,0,412.8,0,4.391,0.005,0,,,,0,0
03/06/2016,21:15:00,0,410.6,0,4.314,0.002,0,,,,0,0
03/06/2016,21:30:00,0,410,0,4.281,0,0,,,,0,0
03/06/2016,21:45:00,0,410.1,0,4.243,0.001,0,,,,0,0
03/06/2016,22:00:00,0,410.7,0,4.254,0.002,0,,,,0,0
03/06/2016,22:15:00,0,411.6,0,4.334,0.001,0,,,,0,0
03/06/2016,22:30:00,0,411.4,0,4.321,0,0,,,,0,0
03/06/2016,22:45:00,0,411.8,0,4.317,0.002,0,,,,0,0
03/06/2016,23:00:00,0,412.3,0,4.356,0.001,0,,,,0,0
03/06/2016,23:15:00,0,412.9,0,4.353,0.002,0,,,,0,0
03/06/2016,23:30:00,0,412.6,0,4.344,0,0,,,,0,0
03/06/2016,23:45:00,0,413.5,0,4.438,0.003,0,,,,0,0
04/06/2016,00:00:00,0,413.9,0,4.459,0.003,0,,,,0,0
04/06/2016,00:15:00,0,413.3,0,4.471,0.002,0,,,,0,0
04/06/2016,00:30:00,0,413.6,0,4.486,0.003,0,,,,0,0
04/06/2016,00:45:00,0,414.2,0,4.553,0.003,0,,,,0,0
04/06/2016,01:00:00,0,414.8,0,4.557,0.005,0,,,,0,0
04/06/2016,01:15:00,0,415.1,0,4.566,0.005,0,,,,0,0
04/06/2016,01:30:00,0,415.2,0,4.552,0.008,0,,,,0,0
04/06/2016,01:45:00,0,415.6,0,4.548,0.004,0,,,,0,0
04/06/2016,02:00:00,0,415.1,0,4.568,0.007,0,,,,0,0
04/06/2016,02:15:00,0,415.6,0,4.602,0.004,0,,,,0,0
04/06/2016,02:30:00,0,414.7,0,4.564,0.006,0,,,,0,0
04/06/2016,02:45:00,0,414.8,0,4.582,0.003,0,,,,0,0
04/06/2016,03:00:00,0,414.9,0,4.58,0.006,0,,,,0,0
04/06/2016,03:15:00,0,415.2,0,4.611,0.004,0,,,,0,0
04/06/2016,03:30:00,0,414.9,0,4.578,0.004,0,,,,0,0
04/06/2016,03:45:00,0,415.2,0,4.581,0.004,0,,,,0,0
04/06/2016,04:00:00,0,414.5,0,4.582,0.003,0,,,,0,0
04/06/2016,04:15:00,0,414.6,0,4.581,0.003,0,,,,0,0
04/06/2016,04:30:00,0,415,0,4.607,0.003,0,,,,0,0
04/06/2016,04:45:00,0,414.9,0,4.577,0.002,0,,,,0,0
04/06/2016,05:00:00,0,414.5,0,4.577,0.003,0,,,,0,0
04/06/2016,05:15:00,0,414.6,0,4.578,0.004,0,,,,0,0
04/06/2016,05:30:00,0,414.7,0,4.595,0.004,0,,,,0,0
04/06/2016,05:45:00,0,414.2,0,4.573,0.003,0,,,,0,0
04/06/2016,06:00:00,0,413.4,0,4.562,0.001,0,,,,0,0
04/06/2016,06:15:00,0,413.2,0,4.53,0.001,0,,,,0,0
04/06/2016,06:30:00,0,413.1,0,4.562,0.003,0,,,,0,0
04/06/2016,06:45:00,0,413.6,0,4.599,0.001,0,,,,0,0
04/06/2016,07:00:00,0,413.6,0,4.619,0,0,,,,0,0
04/06/2016,07:15:00,0,413.8,0,4.672,0.002,0,,,,0,0
04/06/2016,07:30:00,0,412.8,0,4.593,0,0,,,,0,0
04/06/2016,07:45:00,0,413.1,0,4.578,0.001,0,,,,0,0
04/06/2016,08:00:00,0,411.6,0,4.608,0.003,0,,,,0,0
04/06/2016,08:15:00,0,368.6,0,5.592,0.756,1.676,,,,347.3,0.3473
04/06/2016,08:30:00,0,345.1,0,7.494,2.929,4.282,,,,1134,1.134
04/06/2016,08:45:00,0,342.9,0,8.082,3.54,5.01,,,,1288,1.288
04/06/2016,09:00:00,0,343.5,0,5.068,0.109,0.906,,,,166.4,0.1664
04/06/2016,09:15:00,0,400.5,0,4.379,0.138,0.164,,,,19.43,0.01943
04/06/2016,09:30:00,0,363.2,0,5.274,0.846,1.487,,,,266.9,0.2669
04/06/2016,09:45:00,0,347,0,8.203,3.95,5.342,,,,1383,1.383
04/06/2016,10:00:00,0,339.9,0,9.808,5.942,7.434,,,,1876,1.876
04/06/2016,10:15:00,0,339.2,0,7.645,3.538,4.921,,,,1236,1.236
04/06/2016,10:30:00,0,379.9,0,4.466,0.479,0.838,,,,143,0.143
04/06/2016,10:45:00,0,412.5,0,4.252,0.001,0,,,,0,0
04/06/2016,11:00:00,0,405.2,0,4.163,0.081,0.096,,,,11.01,0.01101
04/06/2016,11:15:00,0,412.5,0,4.257,0.003,0,,,,0,0
04/06/2016,11:30:00,0,411.7,0,4.27,0.002,0,,,,0,0
04/06/2016,11:45:00,0,411.7,0,4.254,0.001,0,,,,0,0
04/06/2016,12:00:00,0,411.8,0,4.23,0.004,0,,,,0,0
04/06/2016,12:15:00,0,412.1,0,4.246,0.002,0,,,,0,0
04/06/2016,12:30:00,0,411.7,0,4.26,0,0,,,,0,0
04/06/2016,12:45:00,0,412.1,0,4.27,0.001,0,,,,0,0
04/06/2016,13:00:00,0,400.4,0,4.329,0.043,0.049,,,,5.298,0.005298
04/06/2016,13:15:00,0,412.8,0,4.341,0.003,0,,,,0,0
04/06/2016,13:30:00,0,412.8,0,4.359,0.002,0,,,,0,0
04/06/2016,13:45:00,0,373.8,0,4.971,0.517,1.039,,,,186.6,0.1866
04/06/2016,14:00:00,0,359.6,0,5.264,0.802,1.572,,,,306.2,0.3062
04/06/2016,14:15:00,0,378.6,0,5.841,1.46,2.184,,,,407.5,0.4075
04/06/2016,14:30:00,0,388.8,0,4.916,0.531,0.852,,,,129.5,0.1295
04/06/2016,14:45:00,0,414.1,0,4.387,0.002,0,,,,0,0
04/06/2016,15:00:00,0,414.3,0,4.416,0.004,0,,,,0,0
04/06/2016,15:15:00,0,413.9,0,4.398,0.029,0.031,,,,4.032,0.004032
04/06/2016,15:30:00,0,412.1,0,4.326,0.001,0,,,,0,0
04/06/2016,15:45:00,0,413.3,0,4.358,0.003,0,,,,0,0
04/06/2016,16:00:00,0,412.8,0,4.374,0.001,0,,,,0,0
04/06/2016,16:15:00,0,413.1,0,4.352,0.002,0,,,,0,0
04/06/2016,16:30:00,0,412.9,0,4.339,0.002,0,,,,0,0
04/06/2016,16:45:00,0,413.6,0,4.384,0.003,0,,,,0,0
